StockSymbol,Options Symbol,Strike,Expiration Date,OptionType,Price,Bid,Ask,Volume,Open Interest,Time
AAPL,AAPL150612P00136000,136.0,2015-06-12,Put,6.80,0.00,0.00,155,634,08:38
AAPL,AAPL150612P00137000,137.0,2015-06-12,Put,7.45,0.00,0.00,59,586,08:38
AAPL,AAPL150612P00138000,138.0,2015-06-12,Put,9.00,0.00,0.00,17,420,08:38
AAPL,AAPL150612P00139000,139.0,2015-06-12,Put,9.85,0.00,0.00,10,220,08:38
AAPL,AAPL150612P00140000,140.0,2015-06-12,Put,10.90,0.00,0.00,10,204,08:38
AAPL,AAPL150612P00141000,141.0,2015-06-12,Put,14.20,0.00,0.00,20,58,08:38
AAPL,AAPL150612P00142000,142.0,2015-06-12,Put,15.20,0.00,0.00,5,5,08:38
AAPL,AAPL150612P00143000,143.0,2015-06-12,Put,13.85,0.00,0.00,3,13,08:38
AAPL,AAPL150612P00144000,144.0,2015-06-12,Put,12.00,0.00,0.00,5,0,08:38
AAPL,AAPL150612P00145000,145.0,2015-06-12,Put,16.00,0.00,0.00,6,0,08:38
AAPL,AAPL150612P00155000,155.0,2015-06-12,Put,24.45,0.00,0.00,25,0,08:38
StockSymbol,Options Symbol,Strike,Expiration Date,OptionType,Price,Bid,Ask,Volume,Open Interest,Time
AAPL,AAPL150612C00085000,85.0,2015-06-12,Call,41.11,0.00,0.00,10,10,08:39
AAPL,AAPL150612C00100000,100.0,2015-06-12,Call,28.85,0.00,0.00,27,455,08:39
AAPL,AAPL150612C00105000,105.0,2015-06-12,Call,25.05,0.00,0.00,1,21,08:39
AAPL,AAPL150612C00110000,110.0,2015-06-12,Call,19.05,0.00,0.00,11,54,08:39
AAPL,AAPL150612C00112000,112.0,2015-06-12,Call,15.98,0.00,0.00,10,10,08:39
AAPL,AAPL150612C00113000,113.0,2015-06-12,Call,14.50,0.00,0.00,15,72,08:39
AAPL,AAPL150612C00114000,114.0,2015-06-12,Call,12.30,0.00,0.00,5,29,08:39
AAPL,AAPL150612C00115000,115.0,2015-06-12,Call,13.75,0.00,0.00,1,509,08:39
AAPL,AAPL150612C00116000,116.0,2015-06-12,Call,12.70,0.00,0.00,70,193,08:39
AAPL,AAPL150612C00117000,117.0,2015-06-12,Call,11.89,0.00,0.00,13,279,08:39
AAPL,AAPL150612C00118000,118.0,2015-06-12,Call,11.96,0.00,0.00,2,426,08:39
AAPL,AAPL150612C00119000,119.0,2015-06-12,Call,10.15,0.00,0.00,156,104,08:39
AAPL,AAPL150612C00120000,120.0,2015-06-12,Call,8.67,0.00,0.00,303,2111,08:39
AAPL,AAPL150612C00121000,121.0,2015-06-12,Call,7.70,0.00,0.00,113,389,08:39
AAPL,AAPL150612C00122000,122.0,2015-06-12,Call,6.75,0.00,0.00,98,483,08:39
AAPL,AAPL150612C00123000,123.0,2015-06-12,Call,5.75,0.00,0.00,209,1096,08:39
AAPL,AAPL150612C00124000,124.0,2015-06-12,Call,4.70,0.00,0.00,146,1742,08:39
AAPL,AAPL150612C00125000,125.0,2015-06-12,Call,3.75,0.00,0.00,7281,4824,08:39
AAPL,AAPL150612C00126000,126.0,2015-06-12,Call,2.74,0.00,0.00,2152,5183,08:39
AAPL,AAPL150612C00127000,127.0,2015-06-12,Call,1.79,0.00,0.00,7953,6560,08:39
AAPL,AAPL150612C00128000,128.0,2015-06-12,Call,0.85,0.00,0.00,22293,12689,08:39
AAPL,AAPL150612C00129000,129.0,2015-06-12,Call,0.30,0.00,0.00,44766,27446,08:39
AAPL,AAPL150612C00130000,130.0,2015-06-12,Call,0.07,0.00,0.00,54743,42371,08:39
AAPL,AAPL150612C00131000,131.0,2015-06-12,Call,0.03,0.00,0.00,31082,34014,08:39
AAPL,AAPL150612C00132000,132.0,2015-06-12,Call,0.02,0.00,0.00,9633,21968,08:39
AAPL,AAPL150612C00133000,133.0,2015-06-12,Call,0.01,0.00,0.00,6433,50887,08:39
AAPL,AAPL150612C00134000,134.0,2015-06-12,Call,0.02,0.00,0.00,2187,12156,08:39
AAPL,AAPL150612C00135000,135.0,2015-06-12,Call,0.01,0.00,0.00,45,14998,08:39
AAPL,AAPL150612C00136000,136.0,2015-06-12,Call,0.01,0.00,0.00,281,8942,08:39
AAPL,AAPL150612C00137000,137.0,2015-06-12,Call,0.01,0.00,0.00,17,11089,08:39
AAPL,AAPL150612C00138000,138.0,2015-06-12,Call,0.01,0.00,0.00,82,6901,08:39
AAPL,AAPL150612C00139000,139.0,2015-06-12,Call,0.01,0.00,0.00,24,1835,08:39
AAPL,AAPL150612C00140000,140.0,2015-06-12,Call,0.01,0.00,0.00,125,5010,08:39
AAPL,AAPL150612C00141000,141.0,2015-06-12,Call,0.01,0.00,0.00,500,1496,08:39
AAPL,AAPL150612C00142000,142.0,2015-06-12,Call,0.01,0.00,0.00,2,463,08:39
AAPL,AAPL150612C00143000,143.0,2015-06-12,Call,0.01,0.00,0.00,179,340,08:39
AAPL,AAPL150612C00144000,144.0,2015-06-12,Call,0.01,0.00,0.00,20,161,08:39
AAPL,AAPL150612C00145000,145.0,2015-06-12,Call,0.01,0.00,0.00,14,272,08:39
AAPL,AAPL150612C00146000,146.0,2015-06-12,Call,0.01,0.00,0.00,10,10,08:39
AAPL,AAPL150612C00147000,147.0,2015-06-12,Call,0.02,0.00,0.00,10,10,08:39
AAPL,AAPL150612C00150000,150.0,2015-06-12,Call,0.04,0.00,0.00,20,149,08:39
AAPL,AAPL150612C00155000,155.0,2015-06-12,Call,0.01,0.00,0.00,17,19,08:39
AAPL,AAPL150612C00160000,160.0,2015-06-12,Call,0.02,0.00,0.00,5,41,08:39
AAPL,AAPL150612P00095000,95.0,2015-06-12,Put,0.01,0.00,0.00,1,2,08:39
AAPL,AAPL150612P00100000,100.0,2015-06-12,Put,0.01,0.00,0.00,1000,1492,08:39
AAPL,AAPL150612P00105000,105.0,2015-06-12,Put,0.01,0.00,0.00,926,1502,08:39
AAPL,AAPL150612P00110000,110.0,2015-06-12,Put,0.01,0.00,0.00,239,2437,08:39
AAPL,AAPL150612P00112000,112.0,2015-06-12,Put,0.01,0.00,0.00,842,1990,08:39
AAPL,AAPL150612P00113000,113.0,2015-06-12,Put,0.01,0.00,0.00,400,1086,08:39
AAPL,AAPL150612P00114000,114.0,2015-06-12,Put,0.01,0.00,0.00,100,2927,08:39
AAPL,AAPL150612P00115000,115.0,2015-06-12,Put,0.01,0.00,0.00,10,4525,08:39
AAPL,AAPL150612P00116000,116.0,2015-06-12,Put,0.01,0.00,0.00,362,4375,08:39
AAPL,AAPL150612P00117000,117.0,2015-06-12,Put,0.01,0.00,0.00,2104,3570,08:39
AAPL,AAPL150612P00118000,118.0,2015-06-12,Put,0.01,0.00,0.00,130,2123,08:39
AAPL,AAPL150612P00119000,119.0,2015-06-12,Put,0.01,0.00,0.00,121,3732,08:39
AAPL,AAPL150612P00120000,120.0,2015-06-12,Put,0.01,0.00,0.00,247,8596,08:39
AAPL,AAPL150612P00121000,121.0,2015-06-12,Put,0.01,0.00,0.00,1875,5574,08:39
AAPL,AAPL150612P00122000,122.0,2015-06-12,Put,0.01,0.00,0.00,2954,8774,08:39
AAPL,AAPL150612P00123000,123.0,2015-06-12,Put,0.02,0.00,0.00,1299,10278,08:39
