StockSymbol,Options Symbol,Strike,Expiration Date,OptionType,Price,Bid,Ask,Volume,Open Interest,Time
FSLR,FSLR150612C00057000,57.0,2015-06-12,Call,0.29,0.00,0.00,1,90,08:38
FSLR,FSLR150612C00057500,57.5,2015-06-12,Call,0.56,0.00,0.00,163,244,08:38
FSLR,FSLR150612C00058000,58.0,2015-06-12,Call,0.03,0.00,0.00,2,11,08:38
FSLR,FSLR150612C00058500,58.5,2015-06-12,Call,0.05,0.00,0.00,1,18,08:38
FSLR,FSLR150612C00059000,59.0,2015-06-12,Call,0.48,0.00,0.00,6,20,08:38
FSLR,FSLR150612C00059500,59.5,2015-06-12,Call,0.04,0.00,0.00,3,3,08:38
FSLR,FSLR150612C00060000,60.0,2015-06-12,Call,0.03,0.00,0.00,5,87,08:38
FSLR,FSLR150612C00060500,60.5,2015-06-12,Call,0.01,0.00,0.00,1,14,08:38
FSLR,FSLR150612C00061000,61.0,2015-06-12,Call,0.01,0.00,0.00,10,166,08:38
FSLR,FSLR150612C00061500,61.5,2015-06-12,Call,0.67,0.00,0.00,87,84,08:38
FSLR,FSLR150612C00062000,62.0,2015-06-12,Call,0.60,0.00,0.00,1,13,08:38
FSLR,FSLR150612C00062500,62.5,2015-06-12,Call,0.09,0.00,0.00,1,5,08:38
FSLR,FSLR150612C00065000,65.0,2015-06-12,Call,0.34,0.00,0.00,42,42,08:38
FSLR,FSLR150612P00043500,43.5,2015-06-12,Put,0.13,0.00,0.00,81,81,08:38
FSLR,FSLR150612P00045000,45.0,2015-06-12,Put,0.22,0.00,0.00,5,5,08:38
FSLR,FSLR150612P00046000,46.0,2015-06-12,Put,0.05,0.00,0.00,1,1,08:38
FSLR,FSLR150612P00046500,46.5,2015-06-12,Put,0.03,0.00,0.00,1,16,08:38
FSLR,FSLR150612P00047000,47.0,2015-06-12,Put,0.12,0.00,0.00,705,807,08:38
FSLR,FSLR150612P00047500,47.5,2015-06-12,Put,0.05,0.00,0.00,5,60,08:38
FSLR,FSLR150612P00048000,48.0,2015-06-12,Put,0.09,0.00,0.00,3,190,08:38
FSLR,FSLR150612P00048500,48.5,2015-06-12,Put,0.26,0.00,0.00,1,119,08:38
FSLR,FSLR150612P00049000,49.0,2015-06-12,Put,0.11,0.00,0.00,31,356,08:38
FSLR,FSLR150612P00049500,49.5,2015-06-12,Put,0.17,0.00,0.00,7,307,08:38
FSLR,FSLR150612P00050000,50.0,2015-06-12,Put,0.29,0.00,0.00,142,364,08:38
FSLR,FSLR150612P00050500,50.5,2015-06-12,Put,0.49,0.00,0.00,30,289,08:38
FSLR,FSLR150612P00051000,51.0,2015-06-12,Put,0.78,0.00,0.00,5,83,08:38
FSLR,FSLR150612P00051500,51.5,2015-06-12,Put,1.39,0.00,0.00,10,118,08:38
FSLR,FSLR150612P00052000,52.0,2015-06-12,Put,1.83,0.00,0.00,10,70,08:38
FSLR,FSLR150612P00052500,52.5,2015-06-12,Put,2.20,0.00,0.00,1,14,08:38
FSLR,FSLR150612P00053000,53.0,2015-06-12,Put,2.55,0.00,0.00,4,82,08:38
FSLR,FSLR150612P00053500,53.5,2015-06-12,Put,2.89,0.00,0.00,10,14,08:38
FSLR,FSLR150612P00054000,54.0,2015-06-12,Put,4.20,0.00,0.00,8,13,08:38
FSLR,FSLR150612P00054500,54.5,2015-06-12,Put,0.84,0.00,0.00,36,36,08:38
FSLR,FSLR150612P00055000,55.0,2015-06-12,Put,5.50,0.00,0.00,8,47,08:38
FSLR,FSLR150612P00055500,55.5,2015-06-12,Put,6.10,0.00,0.00,5,18,08:38
FSLR,FSLR150612P00056000,56.0,2015-06-12,Put,5.47,0.00,0.00,1,33,08:38
FSLR,FSLR150612P00056500,56.5,2015-06-12,Put,6.29,0.00,0.00,3,67,08:38
FSLR,FSLR150612P00057000,57.0,2015-06-12,Put,2.60,0.00,0.00,16,16,08:38
FSLR,FSLR150612P00057500,57.5,2015-06-12,Put,2.25,0.00,0.00,3,15,08:38
FSLR,FSLR150612P00058000,58.0,2015-06-12,Put,8.85,0.00,0.00,7,23,08:38
FSLR,FSLR150612P00058500,58.5,2015-06-12,Put,3.90,0.00,0.00,16,8,08:38
FSLR,FSLR150612P00059000,59.0,2015-06-12,Put,8.13,0.00,0.00,5,5,08:38
